number,name,slug,difficulty,topic,has_solution,current_path
1,Two Sum,two-sum,Easy,Array,yes,solutions/array/01-two-sum
121,Best Time to Buy and Sell Stock,best-time-to-buy-and-sell-stock,Easy,Array,yes,solutions/array/02-best-time-to-buy-and-sell-stock
217,Contains Duplicate,contains-duplicate,Easy,Hashing,yes,solutions/array/03-contains-duplicate
169,Majority Element,majority-element,Easy,Array,no,
283,Move Zeroes,move-zeroes,Easy,Array,no,
977,Squares of a Sorted Array,squares-of-a-sorted-array,Easy,Array,no,
53,Maximum Subarray,maximum-subarray,Medium,Array,yes,solutions/array/05-maximum-subarray
57,Insert Interval,insert-interval,Medium,Array,yes,solutions/interval/01-insert-interval
238,Product of Array Except Self,product-of-array-except-self,Medium,Array,yes,solutions/array/04-product-of-array-except-self
15,3Sum,3sum,Medium,Array,yes,solutions/array/09-3sum
11,Container With Most Water,container-with-most-water,Medium,Array,yes,solutions/array/10-container-with-most-water
33,Search in Rotated Sorted Array,search-in-rotated-sorted-array,Medium,Array,yes,solutions/array/08-search-in-rotated-sorted-array
56,Merge Intervals,merge-intervals,Medium,Array,yes,solutions/interval/02-merge-intervals
54,Spiral Matrix,spiral-matrix,Medium,Array,yes,solutions/matrix/02-spiral-matrix
48,Rotate Image,rotate-image,Medium,Array,yes,solutions/matrix/03-rotate-image
31,Next Permutation,next-permutation,Medium,Array,no,
287,Find the Duplicate Number,find-the-duplicate-number,Medium,Array,no,
189,Rotate Array,rotate-array,Medium,Array,no,
658,Find K Closest Elements,find-k-closest-elements,Medium,Array,no,
16,3Sum Closest,3sum-closest,Medium,Array,no,
73,Set Matrix Zeroes,set-matrix-zeroes,Medium,Array,yes,solutions/matrix/01-set-matrix-zeroes
74,Search a 2D Matrix,search-a-2d-matrix,Medium,Array,no,
153,Find Minimum in Rotated Sorted Array,find-minimum-in-rotated-sorted-array,Medium,Array,yes,solutions/array/07-find-minimum-in-rotated-sorted-array
152,Maximum Product Subarray,maximum-product-subarray,Medium,Dynamic Programming,yes,solutions/array/06-maximum-product-subarray
42,Trapping Rain Water,trapping-rain-water,Hard,Array,no,
4,Median of Two Sorted Arrays,median-of-two-sorted-arrays,Hard,Array,no,
41,First Missing Positive,first-missing-positive,Hard,Array,no,
20,Valid Parentheses,valid-parentheses,Easy,Stack,yes,solutions/string/06-valid-parentheses
232,Implement Queue using Stacks,implement-queue-using-stacks,Easy,Stack,no,
150,Evaluate Reverse Polish Notation,evaluate-reverse-polish-notation,Medium,Stack,no,
155,Min Stack,min-stack,Medium,Stack,no,
394,Decode String,decode-string,Medium,Stack,no,
739,Daily Temperatures,daily-temperatures,Medium,Stack,no,
735,Asteroid Collision,asteroid-collision,Medium,Stack,no,
227,Basic Calculator II,basic-calculator-ii,Medium,Stack,no,
224,Basic Calculator,basic-calculator,Hard,Stack,no,
84,Largest Rectangle in Histogram,largest-rectangle-in-histogram,Hard,Stack,no,
895,Maximum Frequency Stack,maximum-frequency-stack,Hard,Stack,no,
239,Sliding Window Maximum,sliding-window-maximum,Hard,Stack,no,
21,Merge Two Sorted Lists,merge-two-sorted-lists,Easy,Linked List,yes,solutions/linked-list/03-merge-two-sorted-lists
141,Linked List Cycle,linked-list-cycle,Easy,Linked List,yes,solutions/linked-list/02-linked-list-cycle
206,Reverse Linked List,reverse-linked-list,Easy,Linked List,yes,solutions/linked-list/01-reverse-linked-list
234,Palindrome Linked List,palindrome-linked-list,Easy,Linked List,no,
876,Middle of the Linked List,middle-of-the-linked-list,Easy,Linked List,no,
19,Remove Nth Node From End of List,remove-nth-node-from-end-of-list,Medium,Linked List,yes,solutions/linked-list/05-remove-nth-node-from-end-of-list
24,Swap Nodes in Pairs,swap-nodes-in-pairs,Medium,Linked List,no,
328,Odd Even Linked List,odd-even-linked-list,Medium,Linked List,no,
2,Add Two Numbers,add-two-numbers,Medium,Linked List,no,
148,Sort List,sort-list,Medium,Linked List,no,
143,Reorder List,reorder-list,Medium,Linked List,yes,solutions/linked-list/06-reorder-list
61,Rotate List,rotate-list,Medium,Linked List,no,
23,Merge k Sorted Lists,merge-k-sorted-lists,Hard,Linked List,yes,solutions/linked-list/04-merge-k-sorted-lists
